Trading Date,Interval Number,Trading Interval,Load Forecast (MW),Forecast As At,Scheduled Generation (MW),Non-Scheduled Generation (MW),Total Generation (MW),Final Price ($/MWh),Extracted At
"2021-01-01",1,2021-01-01 08:00:00,1550.634,2021-01-01 07:22:22,1259.094,282.038,1541.132,29.04,"2022-01-05 23:40:13"
"2021-01-01",2,2021-01-01 08:30:00,1480.06,2021-01-01 07:52:23,1278.707,232.986,1511.693,31.56,
"2021-01-01",3,2021-01-01 09:00:00,1445.723,2021-01-01 08:22:23,1308.464,200.128,1508.592,32.52,
"2021-01-01",4,2021-01-01 09:30:00,1448.584,2021-01-01 08:52:21,1313.736,196.278,1510.014,32.66,
"2021-01-01",5,2021-01-01 10:00:00,1474.338,2021-01-01 09:22:22,1343.293,199.55,1542.843,33.12,
"2021-01-01",6,2021-01-01 10:30:00,1522.978,2021-01-01 09:52:22,1314.958,287.899,1602.857,32.66,
"2021-01-01",7,2021-01-01 11:00:00,1559.217,2021-01-01 10:22:23,1342.998,308.362,1651.36,33.12,
"2021-01-01",8,2021-01-01 11:30:00,1637.407,2021-01-01 10:52:22,1404.846,337.152,1741.998,39.9,
"2021-01-01",9,2021-01-01 12:00:00,1728.928,2021-01-01 11:22:38,1478.357,361.833,1840.19,40.19,
"2021-01-01",10,2021-01-01 12:30:00,1833.775,2021-01-01 11:52:21,1582.487,402.405,1984.892,40.16,
"2021-01-01",11,2021-01-01 13:00:00,1944.313,2021-01-01 12:22:24,1763.836,417.704,2181.54,49.31,
"2021-01-01",12,2021-01-01 13:30:00,2056.731,2021-01-01 12:52:20,1731.008,451.436,2182.444,49.09,
"2021-01-01",13,2021-01-01 14:00:00,2183.405,2021-01-01 13:22:23,1800.181,466.972,2267.153,58.8,
"2021-01-01",14,2021-01-01 14:30:00,2356.691,2021-01-01 13:52:24,1755.288,568.173,2323.461,49.03,
"2021-01-01",15,2021-01-01 15:00:00,2474.716,2021-01-01 14:22:21,1779.283,636.62,2415.903,58.81,
"2021-01-01",16,2021-01-01 15:30:00,2591.758,2021-01-01 14:52:20,1917.298,662.944,2580.242,48.6,
"2021-01-01",17,2021-01-01 16:00:00,2720.185,2021-01-01 15:22:21,1978.421,740.147,2718.568,77.69,
"2021-01-01",18,2021-01-01 16:30:00,2792.469,2021-01-01 15:52:23,2058.32,793.424,2851.744,78.25,
"2021-01-01",19,2021-01-01 17:00:00,2832.41,2021-01-01 16:22:27,2139.725,830.878,2970.603,76.46,
"2021-01-01",20,2021-01-01 17:30:00,2874.249,2021-01-01 16:52:22,2348.109,720.817,3068.926,80.17,
"2021-01-01",21,2021-01-01 18:00:00,2847.625,2021-01-01 17:22:49,2373.457,720.559,3094.016,82.12,
"2021-01-01",22,2021-01-01 18:30:00,2897.069,2021-01-01 17:52:23,2556.323,509.823,3066.146,83.9,
"2021-01-01",23,2021-01-01 19:00:00,2933.198,2021-01-01 18:22:20,2463.527,532.281,2995.808,85.82,
"2021-01-01",24,2021-01-01 19:30:00,2974.078,2021-01-01 18:52:23,2424.616,529.309,2953.925,86.97,
"2021-01-01",25,2021-01-01 20:00:00,2918.605,2021-01-01 19:22:22,2285.114,562.452,2847.566,82.92,
"2021-01-01",26,2021-01-01 20:30:00,2794.19,2021-01-01 19:52:22,2155.825,565.038,2720.863,82.29,
"2021-01-01",27,2021-01-01 21:00:00,2651.992,2021-01-01 20:22:21,2021.416,587.679,2609.095,78.89,
"2021-01-01",28,2021-01-01 21:30:00,2505.704,2021-01-01 20:52:24,1894.148,615.579,2509.727,45.35,
"2021-01-01",29,2021-01-01 22:00:00,2367.349,2021-01-01 21:22:23,1731.818,655.184,2387.002,36.74,
"2021-01-01",30,2021-01-01 22:30:00,2269.677,2021-01-01 21:52:23,1606.174,709.27,2315.444,41.22,
"2021-01-01",31,2021-01-01 23:00:00,2191.266,2021-01-01 22:22:28,1447.516,774.281,2221.797,40.49,
"2021-01-01",32,2021-01-01 23:30:00,2102.971,2021-01-01 22:52:20,1361.773,774.736,2136.509,40.47,
"2021-01-01",33,2021-01-02 00:00:00,2056.276,2021-01-01 23:22:24,1278.762,781.621,2060.383,32.21,
"2021-01-01",34,2021-01-02 00:30:00,2012.649,2021-01-01 23:52:23,1213.223,807.025,2020.248,28.08,
"2021-01-01",35,2021-01-02 01:00:00,1968.284,2021-01-02 00:22:21,1192.624,802.338,1994.962,32.17,
"2021-01-01",36,2021-01-02 01:30:00,1944.772,2021-01-02 00:52:20,1161.809,799.073,1960.882,27.57,
