Trading Date,Interval Number,Trading Interval,Load Forecast (MW),Forecast As At,Scheduled Generation (MW),Non-Scheduled Generation (MW),Total Generation (MW),Final Price ($/MWh),Extracted At
"2022-01-01",1,2022-01-01 08:00:00,1411.886,2022-01-01 07:22:27,880.608,404.8,1285.408,-50.57,"2023-01-05 23:40:43"
"2022-01-01",2,2022-01-01 08:30:00,1310.751,2022-01-01 07:52:39,839.298,358.68,1197.978,-50.57,
"2022-01-01",3,2022-01-01 09:00:00,1195.277,2022-01-01 08:22:28,802.295,344.399,1146.694,27.53,
"2022-01-01",4,2022-01-01 09:30:00,1137.052,2022-01-01 08:52:23,685.715,381.039,1066.754,-50.57,
"2022-01-01",5,2022-01-01 10:00:00,1108.414,2022-01-01 09:22:24,765.045,297.838,1062.883,30.93,
"2022-01-01",6,2022-01-01 10:30:00,1113.187,2022-01-01 09:52:28,749.583,302.577,1052.16,-71.5,
"2022-01-01",7,2022-01-01 11:00:00,1100.777,2022-01-01 10:22:27,794.381,269.193,1063.574,-71.5,
"2022-01-01",8,2022-01-01 11:30:00,1133.233,2022-01-01 10:52:24,772.005,314.065,1086.07,27.49,
"2022-01-01",9,2022-01-01 12:00:00,1166.643,2022-01-01 11:22:28,738.847,385.851,1124.698,-10.78,
"2022-01-01",10,2022-01-01 12:30:00,1182.869,2022-01-01 11:52:22,731.819,410.591,1142.41,-50.57,
"2022-01-01",11,2022-01-01 13:00:00,1201.958,2022-01-01 12:22:22,721.537,444.485,1166.022,-10.78,
"2022-01-01",12,2022-01-01 13:30:00,1244.906,2022-01-01 12:52:23,776.092,447.1,1223.192,-71.5,
"2022-01-01",13,2022-01-01 14:00:00,1315.522,2022-01-01 13:22:25,788.553,479.177,1267.73,-71.5,
"2022-01-01",14,2022-01-01 14:30:00,1420.472,2022-01-01 13:52:26,918.813,477.42,1396.233,30.93,
"2022-01-01",15,2022-01-01 15:00:00,1557.825,2022-01-01 14:22:32,885.404,644.509,1529.913,-10.78,
"2022-01-01",16,2022-01-01 15:30:00,1707.53,2022-01-01 14:52:28,916.974,733.395,1650.369,-10.24,
"2022-01-01",17,2022-01-01 16:00:00,1864.81,2022-01-01 15:22:22,1019.353,786.62,1805.973,26.35,
"2022-01-01",18,2022-01-01 16:30:00,2014.414,2022-01-01 15:52:27,1183.273,795.643,1978.916,38.87,
"2022-01-01",19,2022-01-01 17:00:00,2108.725,2022-01-01 16:22:23,1329.618,798.908,2128.526,43.71,
"2022-01-01",20,2022-01-01 17:30:00,2211.588,2022-01-01 16:52:25,1517.572,761.094,2278.666,58.05,
"2022-01-01",21,2022-01-01 18:00:00,2252.536,2022-01-01 17:22:24,1625.336,729.157,2354.493,58.93,
"2022-01-01",22,2022-01-01 18:30:00,2299.193,2022-01-01 17:52:24,1700.834,698.039,2398.873,65.85,
"2022-01-01",23,2022-01-01 19:00:00,2316.331,2022-01-01 18:22:31,1683.841,703.829,2387.67,71.18,
"2022-01-01",24,2022-01-01 19:30:00,2329.66,2022-01-01 18:52:22,1698.391,707.727,2406.118,66.74,
"2022-01-01",25,2022-01-01 20:00:00,2303.638,2022-01-01 19:22:25,1646.943,715.427,2362.37,72.88,
"2022-01-01",26,2022-01-01 20:30:00,2252.276,2022-01-01 19:52:29,1574.871,707.325,2282.196,72.9,
"2022-01-01",27,2022-01-01 21:00:00,2192.535,2022-01-01 20:22:25,1546.101,705.525,2251.626,73.3,
"2022-01-01",28,2022-01-01 21:30:00,2134.117,2022-01-01 20:52:23,1452.822,742.857,2195.679,50.45,
"2022-01-01",29,2022-01-01 22:00:00,2075.108,2022-01-01 21:22:22,1322.067,788.556,2110.623,48.89,
"2022-01-01",30,2022-01-01 22:30:00,2014.582,2022-01-01 21:52:26,1256.607,802.254,2058.861,41.34,
"2022-01-01",31,2022-01-01 23:00:00,1957.259,2022-01-01 22:22:26,1231.641,762.941,1994.582,48.33,
"2022-01-01",32,2022-01-01 23:30:00,1906.813,2022-01-01 22:52:35,1230.1,737.981,1968.081,47.73,
"2022-01-01",33,2022-01-02 00:00:00,1869.625,2022-01-01 23:22:24,1175.426,729.775,1905.201,44.35,
"2022-01-01",34,2022-01-02 00:30:00,1846.461,2022-01-01 23:52:24,1170.898,722.295,1893.193,44.17,
"2022-01-01",35,2022-01-02 01:00:00,1837.212,2022-01-02 00:22:39,1162.27,706.933,1869.203,44.79,
"2022-01-01",36,2022-01-02 01:30:00,1818.744,2022-01-02 00:52:23,1133.781,708.138,1841.919,43.27,
"2022-01-01",37,2022-01-02 02:00:00,1807.681,2022-01-02 01:22:27,1077.883,751.533,1829.416,37.66,
"2022-01-01",38,2022-01-02 02:30:00,1804.917,2022-01-02 01:52:25,1099.521,730.503,1830.024,42.17,
"2022-01-01",39,2022-01-02 03:00:00,1790.193,2022-01-02 02:22:28,1081.972,743.22,1825.192,37.67,
"2022-01-01",40,2022-01-02 03:30:00,1785.596,2022-01-02 02:45:36,1027.64,786.967,1814.607,34.69,
"2022-01-01",41,2022-01-02 04:00:00,1790.193,2022-01-02 03:22:28,1054.949,770.558,1825.507,36.86,
"2022-01-01",42,2022-01-02 04:30:00,1777.329,2022-01-02 03:52:44,1060.516,741.789,1802.305,37.67,
"2022-01-01",43,2022-01-02 05:00:00,1748.912,2022-01-02 04:22:32,1054.512,727.04,1781.552,39.03,
"2022-01-01",44,2022-01-02 05:30:00,1723.324,2022-01-02 04:52:24,998.768,743.093,1741.861,33.37,
"2022-01-01",45,2022-01-02 06:00:00,1689.628,2022-01-02 05:22:26,902.694,778.406,1681.1,-10.24,
"2022-01-01",46,2022-01-02 06:30:00,1655.157,2022-01-02 05:52:24,864.998,734.937,1599.935,-10.24,
"2022-01-01",47,2022-01-02 07:00:00,1549.894,2022-01-02 06:22:23,872.352,638.339,1510.691,-10.78,
"2022-01-01",48,2022-01-02 07:30:00,1401.392,2022-01-02 06:52:23,819.702,584.148,1403.85,-10.78,
"2022-01-02",1,2022-01-02 08:00:00,1333.652,2022-01-02 07:22:27,825.917,482.246,1308.163,31.55,
"2022-01-02",2,2022-01-02 08:30:00,1227.727,2022-01-02 07:52:21,742.704,485.633,1228.337,33.37,
"2022-01-02",3,2022-01-02 09:00:00,1154.234,2022-01-02 08:22:30,734.751,430.576,1165.327,29.96,
"2022-01-02",4,2022-01-02 09:30:00,1124.642,2022-01-02 08:52:23,765.553,375.639,1141.192,31.55,
"2022-01-02",5,2022-01-02 10:00:00,1124.642,2022-01-02 09:22:28,784.385,341.191,1125.576,33.37,
"2022-01-02",6,2022-01-02 10:30:00,1159.961,2022-01-02 09:52:27,864.026,301.575,1165.601,47.8,
"2022-01-02",7,2022-01-02 11:00:00,1189.55,2022-01-02 10:22:22,942.974,263.203,1206.177,46.74,
"2022-01-02",8,2022-01-02 11:30:00,1261.13,2022-01-02 10:52:22,1004.141,248.746,1252.887,39.03,
"2022-01-02",9,2022-01-02 12:00:00,1333.652,2022-01-02 11:22:23,1063.657,237.901,1301.558,47.01,
"2022-01-02",10,2022-01-02 12:30:00,1428.104,2022-01-02 11:52:29,1117.432,240.618,1358.05,47.13,
"2022-01-02",11,2022-01-02 13:00:00,1489.154,2022-01-02 12:22:23,1170.001,251.517,1421.518,47.34,
"2022-01-02",12,2022-01-02 13:30:00,1542.566,2022-01-02 12:52:27,1249.298,269.535,1518.833,47.09,
"2022-01-02",13,2022-01-02 14:00:00,1619.811,2022-01-02 13:22:26,1198.222,401.588,1599.81,47.31,
"2022-01-02",14,2022-01-02 14:30:00,1725.644,2022-01-02 13:52:22,1299.024,414.571,1713.595,47.78,
"2022-01-02",15,2022-01-02 15:00:00,1870.529,2022-01-02 14:22:24,1318.806,532.01,1850.816,48.16,
"2022-01-02",16,2022-01-02 15:30:00,2032.516,2022-01-02 14:52:29,1304.611,702.851,2007.462,48.47,
"2022-01-02",17,2022-01-02 16:00:00,2199.207,2022-01-02 15:22:22,1397.776,748.736,2146.512,39.86,
"2022-01-02",18,2022-01-02 16:30:00,2339.181,2022-01-02 15:52:24,1612.579,743.604,2356.183,45.93,
"2022-01-02",19,2022-01-02 17:00:00,2432.472,2022-01-02 16:22:23,1732.551,731.657,2464.208,81.71,
"2022-01-02",20,2022-01-02 17:30:00,2503.856,2022-01-02 16:52:27,1930.672,663.284,2593.956,81.84,
"2022-01-02",21,2022-01-02 18:00:00,2543.826,2022-01-02 17:22:25,2114.435,558.257,2672.692,108.96,
"2022-01-02",22,2022-01-02 18:30:00,2541.923,2022-01-02 17:52:22,2209.583,487.825,2697.408,108.38,
"2022-01-02",23,2022-01-02 19:00:00,2542.874,2022-01-02 18:22:24,2118.638,531.902,2650.54,88.81,
"2022-01-02",24,2022-01-02 19:30:00,2567.616,2022-01-02 18:52:25,2089.767,547.485,2637.252,96.82,
"2022-01-02",25,2022-01-02 20:00:00,2531.641,2022-01-02 19:22:22,2016.718,553.988,2570.706,88.93,
"2022-01-02",26,2022-01-02 20:30:00,2421.909,2022-01-02 19:52:26,1897.273,612.706,2509.979,83.82,
"2022-01-02",27,2022-01-02 21:00:00,2326.011,2022-01-02 20:22:23,1755.906,660.155,2416.061,86.93,
"2022-01-02",28,2022-01-02 21:30:00,2260.012,2022-01-02 20:52:22,1671.308,666.543,2337.851,82.71,
"2022-01-02",29,2022-01-02 22:00:00,2181.015,2022-01-02 21:22:22,1586.295,683.516,2269.811,52.47,
"2022-01-02",30,2022-01-02 22:30:00,2113.136,2022-01-02 21:52:26,1499.326,700.396,2199.722,48.89,
"2022-01-02",31,2022-01-02 23:00:00,2068.469,2022-01-02 22:22:25,1420.518,699.495,2120.013,48.19,
"2022-01-02",32,2022-01-02 23:30:00,2036.288,2022-01-02 22:52:24,1363.976,711.053,2075.029,48.24,
"2022-01-02",33,2022-01-03 00:00:00,2001.394,2022-01-02 23:22:24,1315.985,708.172,2024.157,48.15,
"2022-01-02",34,2022-01-03 00:30:00,1970.384,2022-01-02 23:52:32,1268.114,717.005,1985.119,35.36,
"2022-01-02",35,2022-01-03 01:00:00,1951.64,2022-01-03 00:22:34,1250.098,698.693,1948.791,35.46,
"2022-01-02",36,2022-01-03 01:30:00,1921.731,2022-01-03 00:52:25,1246.674,664.278,1910.952,35.38,
