Trading Date,Interval Number,Trading Interval,Load Forecast (MW),Forecast As At,Scheduled Generation (MW),Non-Scheduled Generation (MW),Total Generation (MW),Final Price ($/MWh),Extracted At
"2019-01-01",1,2019-01-01 08:00:00,1560.298,2019-01-01 07:12:12,1342.697,162.833,1505.53,24.15,"2020-01-05 23:40:00"
"2019-01-01",2,2019-01-01 08:30:00,1515.993,2019-01-01 07:42:12,1325.801,170.847,1496.648,24.15,
"2019-01-01",3,2019-01-01 09:00:00,1498.582,2019-01-01 08:12:13,1360.406,138.204,1498.61,27.31,
"2019-01-01",4,2019-01-01 09:30:00,1496.228,2019-01-01 08:42:11,1395.82,149.219,1545.039,27.89,
"2019-01-01",5,2019-01-01 10:00:00,1487.634,2019-01-01 09:12:11,1452.612,133.369,1585.981,42.45,
"2019-01-01",6,2019-01-01 10:30:00,1537.528,2019-01-01 09:42:10,1472.506,144.195,1616.701,42.69,
"2019-01-01",7,2019-01-01 11:00:00,1635.753,2019-01-01 10:12:12,1499.899,146.958,1646.857,34.96,
"2019-01-01",8,2019-01-01 11:30:00,1693.677,2019-01-01 10:42:11,1554.099,146.401,1700.5,40.74,
"2019-01-01",9,2019-01-01 12:00:00,1735.194,2019-01-01 11:12:14,1595.966,155.608,1751.574,50.95,
"2019-01-01",10,2019-01-01 12:30:00,1791.729,2019-01-01 11:42:12,1648.673,160.968,1809.641,51.68,
"2019-01-01",11,2019-01-01 13:00:00,1823.079,2019-01-01 12:12:17,1630.693,182.006,1812.699,51.91,
"2019-01-01",12,2019-01-01 13:30:00,1903.993,2019-01-01 12:42:14,1672.326,200.232,1872.558,41.92,
"2019-01-01",13,2019-01-01 14:00:00,1966.162,2019-01-01 13:12:14,1713.206,201.18,1914.386,38.38,
"2019-01-01",14,2019-01-01 14:30:00,2009.017,2019-01-01 13:42:15,1737.477,220.765,1958.242,42.11,
"2019-01-01",15,2019-01-01 15:00:00,2049.319,2019-01-01 14:12:14,1787.649,227.608,2015.257,42.72,
"2019-01-01",16,2019-01-01 15:30:00,2104.021,2019-01-01 14:42:16,1878.322,191.179,2069.501,56.08,
"2019-01-01",17,2019-01-01 16:00:00,2145.977,2019-01-01 15:12:17,1942.805,211.008,2153.813,45.54,
"2019-01-01",18,2019-01-01 16:30:00,2255.051,2019-01-01 15:42:11,2039.326,201.704,2241.03,49.99,
"2019-01-01",19,2019-01-01 17:00:00,2277.96,2019-01-01 16:12:18,2071.038,210.827,2281.865,58.29,
"2019-01-01",20,2019-01-01 17:30:00,2356.471,2019-01-01 16:42:19,2089.805,232.394,2322.199,58.29,
"2019-01-01",21,2019-01-01 18:00:00,2355.106,2019-01-01 17:12:10,2058.411,218.748,2277.159,55.55,
"2019-01-01",22,2019-01-01 18:30:00,2323.066,2019-01-01 17:42:12,2066.113,208.604,2274.717,55.19,
"2019-01-01",23,2019-01-01 19:00:00,2275.753,2019-01-01 18:13:13,2004.234,212.507,2216.741,54.97,
"2019-01-01",24,2019-01-01 19:30:00,2275.804,2019-01-01 18:42:12,2027.578,192.202,2219.78,58.29,
"2019-01-01",25,2019-01-01 20:00:00,2220.726,2019-01-01 19:12:12,1985.466,188.3,2173.766,58.29,
"2019-01-01",26,2019-01-01 20:30:00,2133.253,2019-01-01 19:42:13,1936.771,203.481,2140.252,45.54,
"2019-01-01",27,2019-01-01 21:00:00,2058.539,2019-01-01 20:12:10,1871.608,225.652,2097.26,45.54,
"2019-01-01",28,2019-01-01 21:30:00,1987.723,2019-01-01 20:42:15,1862.3,166.9,2029.2,49.61,
"2019-01-01",29,2019-01-01 22:00:00,1915.678,2019-01-01 21:12:15,1843.438,140.959,1984.397,48.39,
"2019-01-01",30,2019-01-01 22:30:00,1847.333,2019-01-01 21:42:15,1798.775,102.942,1901.717,48.15,
"2019-01-01",31,2019-01-01 23:00:00,1811.475,2019-01-01 22:13:20,1773.199,98.293,1871.492,47.29,
"2019-01-01",32,2019-01-01 23:30:00,1769.121,2019-01-01 22:42:32,1720.406,98.604,1819.01,42.82,
"2019-01-01",33,2019-01-02 00:00:00,1753.862,2019-01-01 23:12:18,1661.909,117.387,1779.296,42.27,
"2019-01-01",34,2019-01-02 00:30:00,1740.181,2019-01-01 23:42:14,1652.691,108.765,1761.456,42.05,
"2019-01-01",35,2019-01-02 01:00:00,1717.758,2019-01-02 00:12:43,1618.768,119.11,1737.878,41.88,
"2019-01-01",36,2019-01-02 01:30:00,1709.363,2019-01-02 00:42:13,1606.872,111.924,1718.796,41.86,
"2019-01-01",37,2019-01-02 02:00:00,1708.192,2019-01-02 01:12:14,1605.838,116.648,1722.486,40.55,
"2019-01-01",38,2019-01-02 02:30:00,1704.732,2019-01-02 01:42:12,1599.859,118.14,1717.999,40.4,
"2019-01-01",39,2019-01-02 03:00:00,1702.834,2019-01-02 02:12:13,1610.842,89.943,1700.785,42.01,
"2019-01-01",40,2019-01-02 03:30:00,1705.236,2019-01-02 02:42:18,1611.276,104.738,1716.014,41.96,
"2019-01-01",41,2019-01-02 04:00:00,1717.367,2019-01-02 03:12:14,1623.631,97.526,1721.157,41.94,
"2019-01-01",42,2019-01-02 04:30:00,1744.334,2019-01-02 03:42:13,1661.972,86.861,1748.833,41.95,
"2019-01-01",43,2019-01-02 05:00:00,1770.539,2019-01-02 04:12:13,1707.146,68.871,1776.017,45.5,
"2019-01-01",44,2019-01-02 05:30:00,1822.961,2019-01-02 04:42:15,1732.408,76.586,1808.994,45.6,
"2019-01-01",45,2019-01-02 06:00:00,1907.994,2019-01-02 05:12:16,1808.225,66.259,1874.484,46.5,
"2019-01-01",46,2019-01-02 06:30:00,1955.055,2019-01-02 05:42:15,1849.771,77.968,1927.739,47.21,
"2019-01-01",47,2019-01-02 07:00:00,1986.045,2019-01-02 06:12:14,1843.384,100.966,1944.35,47.26,
"2019-01-01",48,2019-01-02 07:30:00,1955.103,2019-01-02 06:42:18,1886.204,105.561,1991.765,47.5,
"2019-01-02",1,2019-01-02 08:00:00,1991.778,2019-01-02 07:12:14,1898.702,125.701,2024.403,47.98,
"2019-01-02",2,2019-01-02 08:30:00,1907.056,2019-01-02 07:42:12,1894.791,139.26,2034.051,48.3,
"2019-01-02",3,2019-01-02 09:00:00,1955.757,2019-01-02 08:12:12,1901.602,118.77,2020.372,48.28,
"2019-01-02",4,2019-01-02 09:30:00,2008.683,2019-01-02 08:42:13,1860.272,136.853,1997.125,47.21,
