Trading Date,Interval Number,Trading Interval,Load Forecast (MW),Forecast As At,Scheduled Generation (MW),Non-Scheduled Generation (MW),Total Generation (MW),Final Price ($/MWh),Extracted At
1/01/2023,1,1/01/2023 8:00,998.59,1/01/2023 7:23,756.291,292.584,1048.875,-72.19,5/01/2024 23:40
1/01/2023,2,1/01/2023 8:30,871.858,1/01/2023 7:53,728.547,215.771,944.318,-90.28,
1/01/2023,3,1/01/2023 9:00,798.632,1/01/2023 8:23,710.343,170.685,881.028,32.18,
1/01/2023,4,1/01/2023 9:30,755.887,1/01/2023 8:53,684.369,138.506,822.875,-90.28,
1/01/2023,5,1/01/2023 10:00,776.78,1/01/2023 9:23,655.002,134.614,789.616,-203.33,
1/01/2023,6,1/01/2023 10:30,795.781,1/01/2023 9:53,652.588,137.647,790.235,-203.33,
1/01/2023,7,1/01/2023 11:00,807.185,1/01/2023 10:23,638.938,155.82,794.758,-90.28,
1/01/2023,8,1/01/2023 11:30,847.12,1/01/2023 10:53,722.124,103.384,825.508,32.82,
1/01/2023,9,1/01/2023 12:00,863.293,1/01/2023 11:23,683.502,140.593,824.095,-90.28,
1/01/2023,10,1/01/2023 12:30,885.183,1/01/2023 11:48,611.915,240.128,852.043,-203.33,
1/01/2023,11,1/01/2023 13:00,914.701,1/01/2023 12:19,677.948,195.9,873.848,-90.28,
1/01/2023,12,1/01/2023 13:30,969.976,1/01/2023 12:50,692.437,221.884,914.321,-90.28,
1/01/2023,13,1/01/2023 14:00,1078.795,1/01/2023 13:19,747.452,233.319,980.771,32.47,
1/01/2023,14,1/01/2023 14:30,1207.963,1/01/2023 13:51,777.011,293.25,1070.261,32.47,
1/01/2023,15,1/01/2023 15:00,1335.538,1/01/2023 14:20,861.142,344.39,1205.532,54.84,
1/01/2023,16,1/01/2023 15:30,1503.884,1/01/2023 14:53,815.732,533.288,1349.02,-40,
1/01/2023,17,1/01/2023 16:00,1656.351,1/01/2023 15:23,885.843,650.968,1536.811,32.18,
1/01/2023,18,1/01/2023 16:30,1869.394,1/01/2023 15:45,988.159,745.768,1733.927,39.87,
1/01/2023,19,1/01/2023 17:00,2003.476,1/01/2023 16:23,1076.207,824.84,1901.047,51.65,
1/01/2023,20,1/01/2023 17:30,2112.547,1/01/2023 16:53,1247.495,832.779,2080.274,52.19,
1/01/2023,21,1/01/2023 18:00,2184.736,1/01/2023 17:19,1387.187,785.887,2173.074,55.77,
1/01/2023,22,1/01/2023 18:30,2214.03,1/01/2023 17:52,1462.322,769.202,2231.524,75.7,
1/01/2023,23,1/01/2023 19:00,2218.914,1/01/2023 18:22,1514.978,722.858,2237.836,76.65,
1/01/2023,24,1/01/2023 19:30,2216.96,1/01/2023 18:52,1523.231,728.174,2251.405,58.74,
1/01/2023,25,1/01/2023 20:00,2176.927,1/01/2023 19:22,1459.699,757.391,2217.09,55.77,
1/01/2023,26,1/01/2023 20:30,2126.197,1/01/2023 19:52,1393.023,765.62,2158.643,53.27,
1/01/2023,27,1/01/2023 21:00,2067.722,1/01/2023 20:23,1339.507,761.329,2100.836,53.26,
1/01/2023,28,1/01/2023 21:30,2009.313,1/01/2023 20:52,1284.645,769.097,2053.742,52.74,
1/01/2023,29,1/01/2023 22:00,1953.884,1/01/2023 21:22,1230.296,762.872,1993.168,54.84,
1/01/2023,30,1/01/2023 22:30,1896.572,1/01/2023 21:52,1175.85,754.228,1930.078,55.38,
1/01/2023,31,1/01/2023 23:00,1854.841,1/01/2023 22:22,1127.83,747.3,1875.13,53.17,
1/01/2023,32,1/01/2023 23:30,1824.777,1/01/2023 22:52,1093.983,742.534,1836.517,54.86,
1/01/2023,33,2/01/2023 0:00,1795.699,1/01/2023 23:22,1061.7,734.419,1796.119,54.84,
1/01/2023,34,2/01/2023 0:30,1761.795,1/01/2023 23:52,1025.168,761.058,1786.226,54.86,
1/01/2023,35,2/01/2023 1:00,1742.432,2/01/2023 0:23,980.455,774.978,1755.433,54.84,
1/01/2023,36,2/01/2023 1:30,1721.14,2/01/2023 0:52,966.127,769.041,1735.168,57.92,
1/01/2023,37,2/01/2023 2:00,1704.693,2/01/2023 1:22,950.635,780.176,1730.811,55.38,
1/01/2023,38,2/01/2023 2:30,1695.988,2/01/2023 1:52,923.833,784.345,1708.178,54.86,
1/01/2023,39,2/01/2023 3:00,1685.351,2/01/2023 2:22,925.267,781.136,1706.403,54.86,
1/01/2023,40,2/01/2023 3:30,1685.351,2/01/2023 2:52,907.844,788.403,1696.247,53.27,
1/01/2023,41,2/01/2023 4:00,1679.55,2/01/2023 3:22,935.51,768.567,1704.077,54.86,
1/01/2023,42,2/01/2023 4:30,1676.649,2/01/2023 3:53,908.034,768.154,1676.188,53.27,
1/01/2023,43,2/01/2023 5:00,1648.62,2/01/2023 4:22,895.939,753.137,1649.076,53.27,
1/01/2023,44,2/01/2023 5:30,1606.122,2/01/2023 4:53,863.739,780.516,1644.255,39.75,
1/01/2023,45,2/01/2023 6:00,1515.448,2/01/2023 5:23,756.409,832.282,1588.691,-10.49,
1/01/2023,46,2/01/2023 6:30,1417.237,2/01/2023 5:52,790.022,691.981,1482.003,-40,
1/01/2023,47,2/01/2023 7:00,1318.253,2/01/2023 6:22,752.279,624.561,1376.84,-40,
1/01/2023,48,2/01/2023 7:30,1210.837,2/01/2023 6:52,723.826,510.116,1233.942,-59.15,
2/01/2023,1,2/01/2023 8:00,1077.84,2/01/2023 7:23,709.139,396.014,1105.153,-72.19,
2/01/2023,2,2/01/2023 8:30,958.535,2/01/2023 7:53,696.972,253.932,950.904,-90.28,
2/01/2023,3,2/01/2023 9:00,889.943,2/01/2023 8:23,703.061,198.153,901.214,-203.33,
2/01/2023,4,2/01/2023 9:30,864.245,2/01/2023 8:53,681.669,158.804,840.473,-999.56,
2/01/2023,5,2/01/2023 10:00,845.218,2/01/2023 9:23,737.511,90.083,827.594,38.03,
2/01/2023,6,2/01/2023 10:30,873.761,2/01/2023 9:53,716.28,106.682,822.962,32.45,
2/01/2023,7,2/01/2023 11:00,934.708,2/01/2023 10:23,735.403,120.841,856.244,38.03,
2/01/2023,8,2/01/2023 11:30,1007.177,2/01/2023 10:53,731.471,147.721,879.192,32.47,
2/01/2023,9,2/01/2023 12:00,1073.062,2/01/2023 11:23,745.958,181.187,927.145,-203.33,
2/01/2023,10,2/01/2023 12:30,1183.061,2/01/2023 11:53,839.779,162.033,1001.812,45.36,
2/01/2023,11,2/01/2023 13:00,1261.64,2/01/2023 12:23,777.802,276.683,1054.485,-79.48,
2/01/2023,12,2/01/2023 13:30,1327.855,2/01/2023 12:53,881.366,276.331,1157.697,53.17,
2/01/2023,13,2/01/2023 14:00,1411.466,2/01/2023 13:23,966.655,295.926,1262.581,46.24,
2/01/2023,14,2/01/2023 14:30,1544.37,2/01/2023 13:52,1081.054,338.692,1419.746,46.24,
2/01/2023,15,2/01/2023 15:00,1753.081,2/01/2023 14:22,1145.442,459.249,1604.691,46.21,
2/01/2023,16,2/01/2023 15:30,1970.409,2/01/2023 14:52,1215.245,595.884,1811.129,55.37,
2/01/2023,17,2/01/2023 16:00,2170.095,2/01/2023 15:22,1319.955,681.57,2001.525,61.14,
2/01/2023,18,2/01/2023 16:30,2372.497,2/01/2023 15:52,1519.286,705.301,2224.587,72.3,
2/01/2023,19,2/01/2023 17:00,2534.383,2/01/2023 16:22,1708.592,700.922,2409.514,76.85,
2/01/2023,20,2/01/2023 17:30,2637.658,2/01/2023 16:52,1850.764,725.615,2576.379,104.18,
2/01/2023,21,2/01/2023 18:00,2682.964,2/01/2023 17:23,2049.38,628.945,2678.325,103.9,
2/01/2023,22,2/01/2023 18:30,2675.082,2/01/2023 17:52,2125.72,573.504,2699.224,104.53,
2/01/2023,23,2/01/2023 19:00,2651.442,2/01/2023 18:22,2094.146,542.949,2637.095,105.03,
2/01/2023,24,2/01/2023 19:30,2643.565,2/01/2023 18:52,2008.471,612.19,2620.661,88.01,
2/01/2023,25,2/01/2023 20:00,2548.142,2/01/2023 19:22,1877.021,683.296,2560.317,83.79,
2/01/2023,26,2/01/2023 20:30,2426.404,2/01/2023 19:52,1758.747,717.823,2476.57,79.26,
2/01/2023,27,2/01/2023 21:00,2332.346,2/01/2023 20:22,1645.708,742.213,2387.921,57.5,
2/01/2023,28,2/01/2023 21:30,2258.978,2/01/2023 20:52,1573.609,741.765,2315.374,60.52,
2/01/2023,29,2/01/2023 22:00,2175.951,2/01/2023 21:22,1481.69,757.053,2238.743,74.18,
2/01/2023,30,2/01/2023 22:30,2110.597,2/01/2023 21:52,1385.331,750.863,2136.194,57.5,
