Trading Date,Interval Number,Trading Interval,Load Forecast (MW),Forecast As At,Scheduled Generation (MW),Non-Scheduled Generation (MW),Total Generation (MW),Final Price ($/MWh),Extracted At
"2018-01-01",1,2018-01-01 08:00:00,1720.407,2018-01-01 07:07:17,1481.712,102.406,1584.118,21.01,"2019-01-05 23:40:00"
"2018-01-01",2,2018-01-01 08:30:00,1700.493,2018-01-01 07:42:16,1497.192,78.786,1575.978,2.3,
"2018-01-01",3,2018-01-01 09:00:00,1687.997,2018-01-01 08:07:25,1506.684,81.955,1588.639,2.3,
"2018-01-01",4,2018-01-01 09:30:00,1670.746,2018-01-01 08:42:20,1524.814,90.409,1615.223,21.38,
"2018-01-01",5,2018-01-01 10:00:00,1663.019,2018-01-01 09:07:22,1547.907,100.848,1648.755,21.29,
"2018-01-01",6,2018-01-01 10:30:00,1685.741,2018-01-01 09:42:24,1590.163,106.608,1696.771,21.01,
"2018-01-01",7,2018-01-01 11:00:00,1739.717,2018-01-01 10:07:21,1636.267,100.676,1736.943,22.96,
"2018-01-01",8,2018-01-01 11:30:00,1802.162,2018-01-01 10:42:20,1687.142,106.501,1793.643,31.86,
"2018-01-01",9,2018-01-01 12:00:00,1880.061,2018-01-01 11:07:25,1741.05,116.967,1858.017,31.96,
"2018-01-01",10,2018-01-01 12:30:00,1942.192,2018-01-01 11:07:25,1799.527,118.463,1917.99,31.82,
"2018-01-01",11,2018-01-01 13:00:00,1999.608,2018-01-01 11:07:25,1814.667,136.516,1951.183,31.75,
"2018-01-01",12,2018-01-01 13:30:00,2051.157,2018-01-01 12:42:35,1873.574,137.658,2011.232,31.89,
"2018-01-01",13,2018-01-01 14:00:00,2129.988,2018-01-01 13:07:13,1923.153,148.509,2071.662,33.36,
"2018-01-01",14,2018-01-01 14:30:00,2194.489,2018-01-01 13:42:18,1957.874,150.968,2108.842,31.95,
"2018-01-01",15,2018-01-01 15:00:00,2258.723,2018-01-01 14:07:22,1994.973,151.932,2146.905,31.72,
"2018-01-01",16,2018-01-01 15:30:00,2332.147,2018-01-01 14:07:22,2065.095,188.325,2253.42,31.88,
"2018-01-01",17,2018-01-01 16:00:00,2391.003,2018-01-01 14:07:22,2127.32,203.208,2330.528,35.8,
"2018-01-01",18,2018-01-01 16:30:00,2453.759,2018-01-01 14:07:22,2186.514,210.021,2396.535,35.73,
"2018-01-01",19,2018-01-01 17:00:00,2498.929,2018-01-01 14:07:22,2207.579,220.572,2428.151,35.78,
"2018-01-01",20,2018-01-01 17:30:00,2536.294,2018-01-01 14:07:22,2235.536,230.335,2465.871,55.67,
"2018-01-01",21,2018-01-01 18:00:00,2536.078,2018-01-01 14:07:22,2206.955,235.226,2442.181,44.19,
"2018-01-01",22,2018-01-01 18:30:00,2452.147,2018-01-01 17:42:30,2226.123,207.479,2433.602,37.01,
"2018-01-01",23,2018-01-01 19:00:00,2407.327,2018-01-01 18:07:14,2191.011,209.348,2400.359,35.96,
"2018-01-01",24,2018-01-01 19:30:00,2467.07,2018-01-01 18:42:11,2215.034,215.261,2430.295,55.67,
"2018-01-01",25,2018-01-01 20:00:00,2400.161,2018-01-01 19:07:18,2079.449,298.782,2378.231,35.81,
"2018-01-01",26,2018-01-01 20:30:00,2333.042,2018-01-01 19:42:19,1947.792,325.75,2273.542,35.93,
"2018-01-01",27,2018-01-01 21:00:00,2260.599,2018-01-01 20:07:22,1897.409,322.327,2219.736,32.11,
"2018-01-01",28,2018-01-01 21:30:00,2181.333,2018-01-01 20:42:26,1811.815,324.242,2136.057,31.87,
"2018-01-01",29,2018-01-01 22:00:00,2060.32,2018-01-01 21:07:13,1767.995,318.417,2086.412,31.98,
"2018-01-01",30,2018-01-01 22:30:00,2002.031,2018-01-01 21:42:16,1698.932,307.71,2006.642,31.85,
"2018-01-01",31,2018-01-01 23:00:00,1938.093,2018-01-01 22:07:25,1619.582,299.454,1919.036,21.74,
"2018-01-01",32,2018-01-01 23:30:00,1876.342,2018-01-01 22:42:19,1589.884,283.377,1873.261,21.66,
"2018-01-01",33,2018-01-02 00:00:00,1829.761,2018-01-01 23:07:14,1545.818,275.58,1821.398,21.07,
"2018-01-01",34,2018-01-02 00:30:00,1819.331,2018-01-01 23:42:19,1493.334,270.76,1764.094,21.07,
"2018-01-01",35,2018-01-02 01:00:00,1787.521,2018-01-02 00:07:20,1467.084,277.693,1744.777,21.07,
"2018-01-01",36,2018-01-02 01:30:00,1776.312,2018-01-02 00:42:19,1499.204,245.333,1744.537,21.07,
"2018-01-01",37,2018-01-02 02:00:00,1739.685,2018-01-02 01:07:21,1516.813,242.578,1759.391,21.07,
"2018-01-01",38,2018-01-02 02:30:00,1734.801,2018-01-02 01:42:20,1539.013,210.794,1749.807,21.29,
